Marca,Modelo,Precio (€),Kilómetros,Combustible,Transmisión,Ciudad,Link
Peugeot,Rifter,11264,144.525 km,Gasolina,manual,ALGECIRAS,https://www.autoscout24.es/anuncios/peugeot-rifter-1-2-puretech-ss-standard-allure-110-gasolina-gris-cat_ma55mo74995-78354d43-7042-4633-bad8-15c3a585af62
Citroen,C4,9689,117.009 km,Gasolina,Automático,LEGANÉS,https://www.autoscout24.es/anuncios/citroen-c4-spacetourer-1-2-puretech-eat8-shine-130-gasolina-rojo-cat_ma21mo18545-8605576c-eccb-47f3-9dcd-8062fe594b77
Peugeot,Rifter,14995,138.895 km,Diésel,manual,Son Castelló,https://www.autoscout24.es/anuncios/peugeot-rifter-1-5bluehdi-ss-standard-gt-line-130-diesel-gris-cat_ma55mo74995-128d7999-80cb-4826-83f2-df7adc082ef2
SsangYong,Rodius,14769,113.105 km,Diésel,manual,TORREJÓN DE ARDOZ,https://www.autoscout24.es/anuncios/ssangyong-rodius-d22t-premium-diesel-blanco-cat_ma66mo18587-e4654fbe-6d82-4864-ad8b-82365f28e1f9
Dacia,Lodgy,5950,255.000 km,Diésel,manual,TORRIJOS,https://www.autoscout24.es/anuncios/dacia-lodgy-1-5dci-ambiance-7pl-81kw-diesel-gris-cat_ma16360mo20036-8269c978-540d-449a-ad76-4f3a7fe2e443
Mercedes-Benz,B 180,17900,86.169 km,Gasolina,Automático,LEGANES,https://www.autoscout24.es/anuncios/mercedes-benz-b-180-1-3-136-5p-gasolina-plateado-cat_ma47mo18608-81bac344-2a57-44de-b94b-1cc06279dfdc
Renault,Espace,12290,149.120 km,Diésel,manual,REUS,https://www.autoscout24.es/anuncios/renault-espace-1-6dci-energy-intens-96kw-diesel-gris-cat_ma60mo1962-80613caf-9fb0-49fa-a4b2-3da881265efa
Renault,Kangoo,9990,102.000 km,Diésel,manual,ARONA,https://www.autoscout24.es/anuncios/renault-kangoo-combi-1-5dci-blue-profesional-59kw-diesel-blanco-cat_ma60mo15317-3c8febf1-b699-49b7-83d3-399f35a038d6
Citroen,C4,8590,101.005 km,Gasolina,manual,MADRID,https://www.autoscout24.es/anuncios/citroen-c4-picasso-1-2-puretech-ss-feel-130-gasolina-plateado-cat_ma21mo18545-fabf5293-cfc5-4110-8f35-72a5c10719e4
Opel,Vivaro,18900,123.000 km,Diésel,manual,DON BENITO,https://www.autoscout24.es/anuncios/opel-vivaro-1-5d-m-carga-standard-120-diesel-blanco-cat_ma54mo16612-aaea4a33-a62e-4993-871e-47db086abbcc
Peugeot,3008,7990,71.187 km,Gasolina,manual,UTRERA,https://www.autoscout24.es/anuncios/peugeot-3008-1-2-puretech-ss-style-130-gasolina-blanco-cat_ma55mo19217-0d647917-d076-4598-aeca-ee15278108db
Renault,Express,2390,222.813 km,Diésel,manual,SEVILLA,https://www.autoscout24.es/anuncios/renault-express-confort-expression-diesel-gris-cat_ma60mo2133-30bdcf63-b847-4b20-91ba-74aec5a70c54
BMW,218,10490,200.000 km,Diésel,manual,SEVILLA,https://www.autoscout24.es/anuncios/bmw-218-218d-active-tourer-business-diesel-plateado-cat_ma13mo20327-50063716-cd58-48e4-85f9-85fa67f2a2f0
Citroen,C4,4480,189.000 km,Diésel,manual,Utrera,https://www.autoscout24.es/anuncios/citroen-c4-grand-picasso-1-6hdi-cool-diesel-negro-cat_ma21mo18545-f9a1ba60-e5c0-4453-bd03-9035b84232d4
Peugeot,Rifter,12470,98.975 km,Diésel,manual,Armilla,https://www.autoscout24.es/anuncios/peugeot-rifter-active-long-bluehdi-73kw-diesel-blanco-cat_ma55mo74995-c04b5502-46fa-45e0-b226-c825244eee23
BMW,216,9990,145.108 km,Diésel,manual,TORREJÓN DE ARDOZ,https://www.autoscout24.es/anuncios/bmw-216-216d-active-tourer-diesel-negro-cat_ma13mo20397-76f5a78d-9d4b-46d8-810a-a43db20554e5
Citroen,C4,8290,107.343 km,Gasolina,manual,MADRID,https://www.autoscout24.es/anuncios/citroen-c4-picasso-1-2-puretech-ss-live-130-gasolina-negro-cat_ma21mo18545-e35d0be4-5c6c-43d9-8a90-c5a876de6085
Citroen,C4,4290,180.088 km,Diésel,Automático,A CORUÑA,https://www.autoscout24.es/anuncios/citroen-c4-sx-diesel-gris-cat_ma21mo18545-5a5e3ac5-9d1e-49dc-b6e3-fc08ffdeb4ac
Volkswagen,Touran,7900,179.000 km,Diésel,Automático,REUS,https://www.autoscout24.es/anuncios/volkswagen-touran-2-0tdi-traveller-dsg-170-diesel-azul-cat_ma74mo18329-730fa550-0305-4506-8ec5-30d77d70eb0d
Renault,Espace,13790,134.101 km,Diésel,Automático,MADRID,https://www.autoscout24.es/anuncios/renault-espace-1-6dci-tt-energy-zen-edc-118kw-diesel-negro-cat_ma60mo1962-29634715-a126-4477-8091-cdc9a9ea1be1
